Web,Tipo,Periodo,Pageviews
Correo,Peru,201711,28694624
Correo,Peru,201712,24241868
Correo,Estados Unidos,201701,1163523
Correo,Estados Unidos,201702,1315056
Correo,Estados Unidos,201703,1335825
Correo,Estados Unidos,201704,1275812
Correo,Estados Unidos,201705,1012440
Correo,Estados Unidos,201706,930200
Correo,Estados Unidos,201707,1018762
Correo,Estados Unidos,201708,1133432
Correo,Estados Unidos,201709,1065887
Correo,Estados Unidos,201710,1203922
Correo,Estados Unidos,201711,1724416
Correo,Estados Unidos,201712,1326727
Correo,Extranjero,201701,3902032
Correo,Extranjero,201702,4098129
Correo,Extranjero,201703,4525233
Correo,Extranjero,201704,3829419
Correo,Extranjero,201705,3055529
Correo,Extranjero,201706,2776976
Correo,Extranjero,201707,2814991
Correo,Extranjero,201708,3070854
Correo,Extranjero,201709,3083076
Correo,Extranjero,201710,3149704
Correo,Extranjero,201711,3167445
Correo,Extranjero,201712,2426907
Ojo,Total,201701,20319559
Ojo,Total,201702,18766212
Ojo,Total,201703,20572734
Ojo,Total,201704,21456030
Ojo,Total,201705,17371297
Ojo,Total,201706,16169176
Ojo,Total,201707,15805317
Ojo,Total,201708,16708715
Ojo,Total,201709,14536781
Ojo,Total,201710,13303890
Ojo,Total,201711,14425365
Ojo,Total,201712,12211974
Ojo,Peru,201701,14914251
Ojo,Peru,201702,13208867
Ojo,Peru,201703,16522586
Ojo,Peru,201704,16756863
Ojo,Peru,201705,14624081
Ojo,Peru,201706,13964661
Ojo,Peru,201707,13215719
Ojo,Peru,201708,14225384
Ojo,Peru,201709,12168378
Ojo,Peru,201710,11147447
Ojo,Peru,201711,12073448
Ojo,Peru,201712,10299877
Ojo,Estados Unidos,201701,1417031
Ojo,Estados Unidos,201702,1056462
Ojo,Estados Unidos,201703,1038516
Ojo,Estados Unidos,201704,1532001
Ojo,Estados Unidos,201705,892389
Ojo,Estados Unidos,201706,681184
Ojo,Estados Unidos,201707,865142
Ojo,Estados Unidos,201708,855363
Ojo,Estados Unidos,201709,753804
Ojo,Estados Unidos,201710,776902
Ojo,Estados Unidos,201711,896349
Ojo,Estados Unidos,201712,723341
Ojo,Extranjero,201701,3988277
Ojo,Extranjero,201702,4500883
